samples	region	ocean	Mean_Lat	Mean_Long	Mean_Depth	Mean_Temperature	Mean_Salinity	Mean_Oxygen	Mean_Nitrates	NO2	PO4	NO2NO3	SI
IOS_52_05M	IOS	Indian	-16.96	53.99	5.5	27.9	34.6	191.7	NA	0	0.12	0	2.67
IOS_52_75M	IOS	Indian	-16.96	54.01	79	24.9	34.9	192.6	0.2	0.03	0.18	0.47	3.22
IOS_56_05M	IOS	Indian	-15.34	43.29	5.5	27.3	35	193.1	NA	NA	NA	NA	NA
IOS_57_05M	IOS	Indian	-17.02	42.74	5.6	27	35.1	190.1	NA	0.02	0	0	2.81
IOS_58_66M	IOS	Indian	-17.32	42.29	67.1	25.3	35.2	185	0.8	0.03	0	0.06	2.51
IOS_62_05M	IOS	Indian	-21.38	39.56	5.4	25.1	35.3	199.9	-0.2	NA	NA	NA	NA
IOS_64_05M	IOS	Indian	-29.5	37.99	5.5	22.2	35.3	210	NA	0	0.08	0	1.77
IOS_64_65M	IOS	Indian	-29.54	37.94	63.6	22.3	35.3	207.4	-0.1	0	0.08	0.02	1.75
IOS_65_05M	IOS	Indian	-35.19	26.29	5.9	21.8	35.4	207	NA	NA	NA	NA	NA
IOS_65_30M	IOS	Indian	-35.25	26.31	28.7	21.8	NA	206.4	NA	NA	NA	NA	NA
MED_18_05M	MED	Med	35.76	14.26	5.4	21.4	37.9	207.8	NA	0.02	0.03	0.12	0.56
MED_18_60M	MED	Med	35.76	14.25	61.6	18.4	37.9	237.9	NA	0.03	0.01	0.02	0.62
MED_23_05M	MED	Med	42.21	17.71	5.5	17.6	38.2	220	NA	0.01	0.01	0.04	1.38
MED_25_05M	MED	Med	39.39	19.39	5.5	18.3	38.2	218	NA	0	0.01	0.03	1.05
MED_25_50M	MED	Med	39.41	19.38	51.7	15.2	38.5	229.5	NA	0.07	0.07	0.15	1.82
MED_30_05M	MED	Med	33.92	32.89	5.4	20.5	39.4	207.6	-0.7	0	0	0.05	0.82
MED_30_70M	MED	Med	33.93	32.77	69.1	19	39.3	218.1	0.3	0.01	0	0.02	0.67
PON_132_05M	PON	Pacific	31.52	-159	5.5	25.2	35.2	197.7	-1	0	0.01	0.01	2.43
PON_133_05M	PON	Pacific	35.41	-127.74	5.5	19.2	33.1	224.4	-0.7	0	0.29	0.02	1.91
PON_133_45M	PON	Pacific	35.42	-127.69	47.2	13.2	33.2	227.7	4.8	0.08	0.46	1.3	2.84
PON_137_05M	PON	Pacific	14.2	-116.63	5.4	26.4	33.9	195.1	3.2	0.07	0.46	2.44	2.54
PON_137_40M	PON	Pacific	14.17	-116.71	44.2	18.6	34.4	95.4	11	0.31	0.88	6.05	4.66
PON_138_05M	PON	Pacific	6.33	-102.94	5.4	26.6	33.4	196.9	-1.2	0	0.16	0	1.19
PON_138_60M	PON	Pacific	6.34	-102.98	58.1	19	34.6	77	22.1	0.83	1.11	12.9	8.07
PON_140_05M	PON	Pacific	7.41	-79.3	5.4	26.6	28.9	205.3	-3.8	0	0.08	0	0.54
PSE_100_05M	PSE	Pacific	-12.99	-95.99	5.5	25.3	35.8	200.2	4.6	0.14	0.68	6.2	1.2
PSE_100_50M	PSE	Pacific	-12.99	-95.99	57.6	20.6	35.5	216.8	1.5	0.16	0.78	5.7	1.9
PSE_102_05M	PSE	Pacific	-5.25	-85.16	5.5	24.9	34.7	206	11.7	0.32	1	12.6	5
PSE_102_40M	PSE	Pacific	-5.27	-85.23	45.7	19.6	34.9	103.9	20.3	1.2	1.86	24.4	10.5
PSE_109_05M	PSE	Pacific	1.99	-84.58	5.4	27.6	33.4	198.6	1.2	0.04	0.27	0.9	1.7
PSE_109_30M	PSE	Pacific	2.08	-84.52	29.8	26.5	34.3	203.1	3.9	0.11	0.5	4.6	3.2
PSE_110_05M	PSE	Pacific	-2.01	-84.59	5.5	23.9	35	190.8	6.7	0.31	0.75	8.2	3.9
PSE_110_50M	PSE	Pacific	-1.84	-84.63	48.7	21.8	35.1	144.6	10.9	0.41	0.93	10.7	6
PSE_111_05M	PSE	Pacific	-16.96	-100.63	5.9	22.8	36	208.9	2.6	0.04	0.5	2.68	1
PSE_111_90M	PSE	Pacific	-16.96	-100.7	89	19.9	35.7	211.5	1.4	0.2	0.44	0.93	0.9
PSE_93_05M	PSE	Pacific	-34.05	-73.08	5.3	18	34.3	244.9	-1.5	0.01	0.52	0.02	0.09
PSE_93_35M	PSE	Pacific	-33.88	-73.05	33.8	16.4	34.3	237.2	0.7	0.37	1.07	7.55	0.59
PSE_94_05M	PSE	Pacific	-32.78	-87.09	5.4	21.1	34.7	219.2	-0.4	0	0.28	0.03	0.09
PSE_96_05M	PSE	Pacific	-29.72	-101.16	5.5	23.8	35.8	204.1	-0.4	0	0.16	0.02	0.53
PSE_98_05M	PSE	Pacific	-25.83	-111.78	5.6	25.1	36.4	200.5	-1.6	0	0.2	0.05	0.38
PSE_99_05M	PSE	Pacific	-21.15	-104.79	5.4	23.8	36.1	204	-1.7	0	0.29	0.04	0.55
PSW_112_05M	PSW	Pacific	-23.28	-129.4	5.4	24.2	36.5	202.2	-0.9	0.01	0.14	0.03	0.8
PSW_122_05M	PSW	Pacific	-8.99	-139.21	5.9	26.5	35.4	186.2	4	0.12	0.57	5.46	2.19
PSW_123_05M	PSW	Pacific	-8.91	-140.28	5.5	26.6	35.4	189.8	3.9	0.14	0.53	4.9	2.22
PSW_124_05M	PSW	Pacific	-9.11	-140.58	9.9	26.5	35.4	190.7	5.1	0.16	0.63	6.18	2.52
PSW_125_05M	PSW	Pacific	-8.91	-142.56	5.5	26.8	35.4	187.3	5	0.19	0.56	3.73	1.8
PSW_128_05M	PSW	Pacific	0	-153.68	5.4	26.1	35.1	179.9	2.5	0.27	0.54	5.08	2.67
PSW_128_40M	PSW	Pacific	0	-153.68	41.7	26.1	35.1	177	4.4	0.28	0.55	5.26	2.74
RED_31_05M	RED	RedSea	27.16	34.83	5.4	25.1	40	188.8	-0.1	0.01	0.02	0.03	0.82
RED_32_05M	RED	RedSea	23.36	37.22	5.4	25.8	39.7	188.4	-0.5	0.01	0.02	0	0.87
RED_32_80M	RED	RedSea	23.38	37.29	85.5	26.1	40.2	180	1.2	0.01	0.03	0.01	0.85
RED_33_05M	RED	RedSea	21.98	38.24	5.4	27.3	38.9	182.8	0	0	0.05	0	1.15
RED_34_05M	RED	RedSea	18.4	39.88	5.4	27.6	38.6	184.1	-0.9	0.02	0.19	0.03	3.91
RED_34_60M	RED	RedSea	18.4	39.86	60.1	27.6	38.9	175.4	0.1	0.27	0.09	0.64	1.35
SOC_84_05M	SOC	Southern	-60.23	-60.65	5.9	1.8	33.7	338.3	24.4	0.27	1.72	25.3	16.55
SOC_85_05M	SOC	Southern	-62.03	-49.54	5.9	0.7	34.4	343.4	27.5	0.11	2.11	28.5	79.52
SOC_85_90M	SOC	Southern	-62.24	-49.18	87.4	-0.8	34.3	325.4	33.1	0.06	2.31	31	81.82
